File Name: not saved
Channel 1: 'M18653', 35800 values, raw ADC, no filters.
Channel 2: 'M18647', 35800 values, raw ADC, no filters.
Channel 3: 'M18410', 35801 values, raw ADC, no filters.

-31	-6	-23
-32	-4	73
-25	-6	141
-11	-7	151
1	-5	179
6	-6	158
10	-4	63
6	-7	-51
-1	-6	-94
2	-6	-54
5	-6	5
4	-8	61
3	-9	103
-6	-8	125
-13	-7	115
-9	-7	70
-13	-7	15
-15	-7	-39
-17	-7	-80
-10	-6	-82
0	-8	-66
6	-7	-32
5	-8	-3
4	-8	6
1	-7	18
-3	-9	30
-6	-10	40
-7	-11	43
-5	-11	37
-4	-10	0
-4	-10	-29
-3	-8	-29
-1	-10	-27
-2	-10	-20
-1	-11	-28
-2	-10	-82
-1	-10	-125
-3	-11	-129
-2	-10	-117
0	-8	-58
-8	-8	-13
-8	-8	-19
-8	-9	-26
-9	-11	-76
-10	-8	-129
-10	-9	-85
-11	-8	5
-11	-8	83
-10	-7	117
-10	-9	140
-10	-9	145
-11	-9	133
-12	-9	120
-13	-9	99
-14	-9	67
-12	-9	66
-11	-9	82
-10	-8	108
-9	-8	124
-8	-7	130
-8	-9	145
-8	-6	126
-8	-4	97
-9	-5	35
-10	-6	-25
-10	-8	-82
-11	-11	-124
-11	-10	-122
-10	-8	-114
-10	-6	-88
-10	-5	-64
-11	-5	-46
-12	-4	-33
-13	-4	-33
-14	-5	-29
-12	-4	-14
-11	-3	-10
-10	-3	-40
-9	-4	-60
-8	-2	-48
-7	-9	-36
-9	-6	-9
-8	-4	38
-7	-5	58
-7	-6	59
-9	-8	46
-9	-11	20
-10	-10	-3
-11	-8	-37
-9	-6	-43
-8	-5	-43
-7	-5	-56
-7	-4	-52
-7	-4	-47
-9	-5	-41
-9	-4	-39
-9	-3	-27
-7	-3	-19
-6	-4	-18
-5	-2	-30
-6	-9	-29
-10	-6	-19
-13	-4	-12
-13	-5	-11
-12	-6	-5
-10	-8	3
-8	-11	-6
-6	-10	-24
-3	-8	-13
1	-6	-12
4	-5	-5
1	-5	13
-2	-4	11
-3	-4	16
-5	-5	29
-6	-4	25
-7	-3	14
-6	-3	3
-5	-4	-3
-3	-2	1
0	-1	6
1	-1	11
0	-3	12
0	-5	13
-1	-7	13
-3	-11	7
-2	-4	-7
-2	-3	-7
-4	-8	-5
-6	-15	0
-5	-15	-7
-5	-12	-11
-4	-9	-8
-3	-8	-12
-4	-10	-9
-8	-8	-5
-9	-10	0
-7	-8	1
-5	-8	3
-3	-8	3
-6	-10	-4
-6	-9	-8
-7	-8	-10
-8	-8	-6
-10	-7	-2
-11	-9	0
-13	-11	0
-12	-9	-10
-11	-7	-16
-11	-5	-9
-10	-4	-1
-8	-4	8
-7	-4	13
-7	-5	7
-6	-7	2
-4	-7	2
-3	-8	2
-4	-7	0
-5	-6	-1
-6	-6	0
-7	-10	3
-8	-9	2
-9	-8	-1
-3	-8	-3
-3	-7	-1
-4	-9	0
-5	-11	2
-4	-9	5
-5	-7	7
-6	-5	1
-5	-4	6
-3	-4	8
-6	-4	3
-9	-5	-2
-11	-7	-5
-13	-7	2
-11	-8	6
-10	-7	10
-8	-6	7
-7	-6	3
-9	-10	3
-7	-9	2
-5	-8	1
-3	-8	1
-1	-7	0
0	-9	-2
3	-11	-5
4	-9	-3
6	-7	-2
6	-5	-2
5	-4	-1
5	-4	-5
5	-4	-8
5	-5	-10
6	-7	-13
6	-7	-12
5	-8	-11
3	-7	-12
2	-6	-13
3	-6	-12
3	-4	-10
2	-6	-10
0	-7	-7
0	-7	-9
-2	-6	-15
-3	-9	-15
-4	-10	-6
-5	-12	-8
-5	-11	-13
-3	-9	-8
-2	-10	-8
-1	-8	-19
0	-9	-25
0	-9	-13
2	-8	-8
4	-8	0
4	-7	11
5	-7	11
5	-7	5
7	-4	14
2	-6	11
2	-7	9
0	-8	7
-6	-7	5
-13	-6	3
-17	-6	3
-19	-5	2
-17	-7	0
-16	-9	-1
-15	-8	-1
-13	-7	0
-10	-7	0
-7	-6	1
-5	-7	2
-4	-9	4
-8	-8	10
-12	-7	16
-17	-10	21
-21	-13	26
-18	-13	27
-12	-12	27
-3	-11	25
0	-9	29
3	-7	19
2	-7	15
5	-7	17
6	-8	15
9	-9	11
11	-8	9
11	-8	-1
11	-8	-6
12	-7	-5
15	-9	-8
21	-8	-7
21	-7	-4
19	-5	-7
13	-4	-15
7	-3	-10
2	-5	-7
-1	-5	-8
-7	-7	-10
-12	-8	-14
-15	-10	-12
-15	-10	-10
-16	-9	-12
-15	-12	-14
-16	-11	-11
-19	-12	-9
-18	-14	-12
-18	-14	-11
-17	-13	-10
-18	-14	-10
-17	-12	-12
-20	-13	-6
-21	-12	-2
-23	-13	-4
-20	-12	-7
-18	-12	-6
-16	-10	-6
-13	-9	-3
-19	-10	-4
-18	-7	-2
-14	-7	7
-9	-8	14
-7	-6	9
-9	-8	1
-10	-10	1
-11	-10	1
-12	-10	0
-13	-9	2
-14	-7	0
-17	-8	0
-24	-6	1
-27	-6	7
-23	-6	9
-17	-4	4
-8	-5	9
-8	-5	16
-8	-7	16
-6	-5	14
-9	-5	-29
-8	-5	-23
-7	-5	-20
-9	-5	-20
-12	-4	-17
-16	-5	-23
-19	-6	-26
-18	-8	-20
-16	-11	-14
-14	-12	-20
-12	-13	-29
-9	-11	-29
-6	-10	-29
-9	-10	-36
-11	-10	-36
-9	-9	-14
-7	-8	-1
-4	-8	-14
-1	-9	-23
-4	-7	-17
-7	-5	-23
-10	-5	-21
-7	-5	-20
-2	-5	-20
-6	-4	-19
-6	-5	-21
-11	-6	-22
-15	-8	-20
-13	-11	-18
-11	-12	-20
-7	-13	-23
-2	-11	-23
0	-10	-23
1	-10	-25
2	-10	-25
1	-9	-18
3	-8	-14
7	-8	-18
8	-9	-21
12	-7	-19
12	-6	-15
13	-6	-4
17	-7	2
20	-6	1
18	-3	0
15	-7	2
16	-9	4
15	-9	8
14	-9	8
12	-9	12
13	-10	15
10	-10	13
10	-11	18
10	-10	19
10	-9	17
10	-7	15
10	-6	18
9	-6	20
8	-5	22
